link,image_link,title,source,date,description
http://ct.moreover.com/?a=55959584492&p=1pl&v=1&x=GZipsDE2wPFNg4SClbS_hA,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/044/normal/image.png?1369859749,What the Science of Baby-Speak Can Tell Us About Whale Songs,National Geographic,06 Feb 2025,"Just like popular songs on TikTok, new humpback whale songs can rapidly spread across regions and populations to replace all-too…"
http://ct.moreover.com/?a=55858797233&p=1pl&v=1&x=_UmB38K0yJlQYjxDlV6h4A,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/032/normal/yahoo_news.png?1369846922,"Opinion: Building Safer Cities Means Protecting Animals Too, Not Just Humans",Yahoo! News,25 Jan 2025,The recent Los Angeles wildfires are the most destructive in the region’s history.
http://ct.moreover.com/?a=54865744893&p=1pl&v=1&x=m4n9TO0h9BmOQO8AjP1MVQ,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/014/normal/cbc.png?1369846905,"Picture of 4,000 Dead Birds in Toronto Wins International Photography Award",CBC,24 Sep 2024,"‘I want people to be shocked by this image,’ says 2024 Bird Photographer of the Year winner All 4,000 birds in Patricia Homonylo…"
http://ct.moreover.com/?a=54857638258&p=1pl&v=1&x=CNUbgD7CZSC_ER1YXlO2Gg,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/028/normal/image.png?1369859412,Surfing Penguins and Hunting Falcons Among Bird Photography Prize Winners,CNN News,24 Sep 2024,Editor’s Note: Call to Earth is a CNN editorial series committed to reporting on the environmental challenges facing our planet…
http://ct.moreover.com/?a=54524351588&p=1pl&v=1&x=Isz1V6mBE2mx8Q4Cb_Ynuw,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/001/737/normal/Screen_Shot_2016-01-26_at_15.57.35.png?1453823907,"July 2024 Was Second-Warmest on Record, and Other Nature and Climate Stories You Need to Read This Week",World Economic Forum,12 Aug 2024,"Though July 2024 wasn't the hottest July on record, it did harbour the two hottest days on record."
http://ct.moreover.com/?a=54490636780&p=1pl&v=1&x=uNf27VO58f3yMbUtIZxfgA,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/001/normal/washington_post.png?1369846885,Over a Billion Birds Die From Striking U.S. Buildings Each Year — Maybe Many More,Washington Post,08 Aug 2024,"The majority of birds that are injured or stunned colliding into buildings don’t recover, a new U.S."
http://ct.moreover.com/?a=54486761084&p=1pl&v=1&x=H0X30aV09ePgF3YJ9F8S8Q,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/083/normal/popular_science.png?1369846957,More Than a Billion Birds Could Be Dying From Flying Into Buildings Each Year in US,Popular Science,07 Aug 2024,"Glass windows are a marvel of human engineering–clear, nearly invisible sheets of sturdy material that let us bring natural…"
https://uk.news.yahoo.com/here-is-why-conspiracy-theories-spread-so-fast-on-twitter-084156702.html,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/032/normal/yahoo_news.png?1369846922,Here Is Why Conspiracy Theories Spread So Fast on Twitter,Yahoo! News,26 Sep 2023,Conspiracy theories spread rapidly on social media networks such as X (formerly known as Twitter) - and now scientists are…
https://www.futurity.org/negativity-bias-voter-fraud-conspiracy-theories-2978472/?utm_source=rss&utm_medium=rss&utm_campaign=negativity-bias-voter-fraud-conspiracy-theories-2978472,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/001/030/normal/Screen_Shot_2014-07-16_at_11.51.38.png?1405507934,Negativity Bias Boosted Voter Fraud Conspiracy Theories Online,Futurity,25 Sep 2023,A negativity bias boosted the spread of voter fraud conspiracy theories on Twitter (now called X) around the 2020 presidential…
https://phys.org/news/2023-09-negative-retweets-voter-fraud-conspiracy.html,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/185/normal/Screenshot_2021-09-08_at_14.27.26.png?1631104091,Negative 'Retweets' Appear to Add to Voter Fraud Conspiracy Theories,Phys.org,22 Sep 2023,"A team of behavioral scientists using big data and a simulation-based model to analyze social media ""tweets"" around the 2020…"
https://theconversation.com/strategic-extremism-4-insights-on-the-u-s-capitol-siege-from-established-insurgencies-158747,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/071/normal/the_conversation.png?1369846953,Strategic Extremism: 4 Insights on the U.S. Capitol Siege From Established Insurgencies,The Conversation,18 May 2021,"In the coming weeks, trials will begin for more than 400 people accused of attacking the United States Capitol."
http://theconversation.com/jacinda-ardern-calls-for-ethical-algorithms-to-combat-online-extremism-what-this-means-160986,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/071/normal/the_conversation.png?1369846953,Jacinda Ardern Calls for 'Ethical Algorithms' to Combat Online Extremism. What This Means,The Conversation,17 May 2021,New Zealand’s prime minister Jacinda Ardern has called for “ethical algorithms” to help stop online radicalisation.
https://www.weforum.org/agenda/2021/04/are-we-at-a-turning-point-for-tackling-online-extremism/,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/001/737/normal/Screen_Shot_2016-01-26_at_15.57.35.png?1453823907,Are We at a Turning Point for Tackling Online Extremism?,World Economic Forum,12 Apr 2021,A growing body of evidence illustrates the ways social media has radicalized users and resulted in violence.
https://medium.com/@e-rosalie/russian-media-aligns-with-gop-messaging-following-capitol-attack-8124cc1e2da3,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/003/096/normal/Screenshot_2019-06-25_at_16.38.38.png?1561477210,Russian Media Aligns With GOP Messaging Following Capitol Attack,Medium US,19 Feb 2021,"Anytime foreign actors are allowed to mislead the public, that puts the public at risk of being manipulated in unforeseeable…"
https://au.news.yahoo.com/study-finds-around-one-third-165410788.html,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/032/normal/yahoo_news.png?1369846922,Study Finds Around One-Third of Americans Regularly Get Their News From Facebook,Yahoo! News,12 Jan 2021,"Around a third of Americans regularly get their news from Facebook, according to the latest study from Pew Research Center…"
https://techcrunch.com/2021/01/12/study-finds-around-one-third-of-americans-regularly-get-their-news-from-facebook/,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/001/884/normal/Screen_Shot_2016-01-27_at_13.51.40.png?1453902730,Study Finds Around One-Third of Americans Regularly Get Their News From Facebook,Tech Crunch,12 Jan 2021,"Around a third of Americans regularly get their news from Facebook, according to the latest study from Pew Research Center…"
https://medium.com/@cdobro/the-far-rights-doom-loop-strategy-a761a62e91d2,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/003/096/normal/Screenshot_2019-06-25_at_16.38.38.png?1561477210,The Far-Right’s Doom Loop Strategy,Medium US,11 Jan 2021,"1 hour ago · 4 min read Encourage supporters to act crazy, stupid, and bigoted, then play the victim when critics call you crazy…"
http://theconversation.com/white-supremacists-believe-in-genetic-purity-science-shows-no-such-thing-exists-146763,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/071/normal/the_conversation.png?1369846953,White Supremacists Believe in Genetic 'Purity'. Science Shows No Such Thing Exists,The Conversation,27 Sep 2020,"Far-right white supremacist ideology is on the rise in Europe, North America and Australia."
